 등록번호,상호,업종,주소,메뉴,영업시간,주차정보,제안수,댓글수
1172,학림정,한식,전라남도 곡성군 곡성읍 학정1길 9-21,닭곰탕,,,,
1173,명성호수산장,한식,전라남도 곡성군 오곡면 오죽로 1777,"능이오리,닭백숙",,,,
1174,옥과한우촌,한식,전라남도 곡성군 오산면 오산로 983,꽃등심,,,,
1175,새수궁가든,한식,전라남도 곡성군 죽곡면 섬진강로 1015-2,참게메기탕,,,,
1176,장원회관,한식,전라남도 광양시 광양읍 매천로 821-5,숯불고기,,,,
1177,지곡산장 ,한식,전라남도 광양시 광양읍 서북로 59,토종닭숯불구이 ,,,,
1178,오미정,한식,전라남도 광양시 광양읍 와룡1길 10,오리불고기,,,,
1179,솔마루떡갈비,한식,전라남도 광양시 광양읍 제철로 515,떡갈비,,,,
1180,갯마을장어,한식,전라남도 광양시 길호4길 18,"장어탕,서대회",,,,
1181,신원반점,중식,전라남도 광양시 다압면 섬진강매화로 1205,짜장면,,,,
1182,옛고을그향기,한식,전라남도 광양시 발섬4길 17-6,한정식 ,,,,
1183,이모네아구찜,한식,전라남도 광양시 영수길 148,아구탕,,,,
1184,미가도 ,한식,전라남도 광양시 오류5길 35,"메기구이, 메기탕 ",,,,
1185,구다리식당,한식,전라남도 광양시 옥곡면 명주로 2,메기매운탕,,,,
1186,백년옥,한식,전라남도 광양시 옥룡면 상산길 15,손두부,,,,
1187,푸른산장 ,한식,전라남도 광양시 옥룡면 신재로 1317,"닭숯불고기, 흑염소",,,,
1188,구봉산닭과수제비,한식,전라남도 광양시 용장길 260-3,들깨수제비,,,,
1189,한마음회관,한식,전라남도 광영시 중마로 273,꽃등심,,,,
1190,성호횟집식당,한식,전라남도 광양시 진월면 섬진강매화로 119,"주꾸미, 전어회 ",,,,
1191,싱글벙글복집,한식,전라남도 광양시 행정1길 6-5,"복지리, 찜, 튀김",,,,
1192,어부의집,한식,전라남도 구례군 구례읍 5일시장작은길 12,생선구이,,,,
1193,지리산노가네식당,한식,전라남도 구례군 구례읍 5일시장작은길 36,흑염소,,,,
1194,부부식당,한식,전라남도 구례군 구례읍 구례2길 30,다슬기수제비,,,,
1195,까막정,한식,전라남도 구례군 구례읍 까막정길 51-8 50,닭요리,,,,
1196,동아식당,한식,전라남도 구례군 구례읍 봉동길 4-5,"우족탕, 가오리찜",,,,
1197,북문토종흑돼지,한식,전라남도 구례군 구례읍 봉성로 108,양념주물럭,,,,
1198,영실봉,한식,전라남도 구례군 구례읍 북교길 6-6,갈치탕,,,,
1199,봉성식당 ,한식,전라남도 구례군 구례읍 봉동길 8-9,"돼지머리국밥, 수육 ",,,,
1200,당골식당 ,한식,전라남도 구례군 산동면 당골길 86-31,"산닭구이, 오리구이 ",,,,
1201,섬진강다슬기식당,한식,전라남도 구례군 토지면 섬진강대로 5041,다슬기탕,,,,
1202,송현불고기,한식,전라남도 나주시 건재로 193,불고기,,,,
1203,나주곰탕하얀집,한식,전라남도 나주시 금성관길 6-1,곰탕,,,,
1204,우리식당,한식,전라남도 나주시 나주로 212-6,오리탕,,,,
1205,삐삐식당,한식,전라남도 나주시 나주천2길 80,"애호박찌개, 보리굴비",,,,
1206,버드나무집,한식,전라남도 나주시 다도면 나주호로 162,매운탕,,,,
1207,숲속의무릉도원,한식,전라남도 담양군 가사문학면 남대덕로 53,들나물솔밥정식,,,,
1208,덕인관,한식,전라남도 담양군 담양읍 죽향대로 1121,떡갈비,,,,
1209,승일식당,한식,전라남도 담양군 담양읍 중앙로 98-1,숯불돼지갈비,,,,
1210,쌍교숯불갈비,한식,전라남도 담양군 봉산면 송강정로 212,떡갈비,,,,
1211,담양애꽃,한식,전라남도 담양군 봉산면 죽향대로 723,떡갈비정식,,,,
1212,벽오동,한식,전라남도 담양군 창평면 의병로 41,보리밥,,,,
1213,소문난오리전골,한식,전라남도 담양군 창평면 창평로 612,오리전골,,,,
1214,해촌,한식,전라남도 목포시 미항로 133,바지락 무침,,,,
1215,인동주마을,한식,전라남도 목포시 복산길12번길 5,간장게장,,,,
1216,관우간이음식점,중식,전라남도 목포시 산정안로 14-3,볶음밥,,,,
1217,낙지나라,한식,전라남도 목포시 송림로40번길 22,낙지 초무침,,,,
1218,하당먹거리 ,한식,전라남도 목포시 신흥로 98,"전복, 낙지탕탕이 ",,,,
1219,장터식당,한식,전라남도 목포시 영산로40번길 23,꽃게살 비빔밥,,,,
1220,만선식당,한식,전라남도 목포시 서산로 2,벤댕이 회,,,,
1221,어민동산촌닭,한식,전라남도 목포시 해양대학로 162-1,촌닭 코스요리,,,,
1222,독천식당,한식,전라남도 목포시 호남로64번길 3-1,낙지비빔밥,,,,
1223,제일회식당,한식,전라남도 무안군 망운면 망운로 13,기절낙지,,,,
1224,동원,일식,전라남도 무안군 망운면 조산길 2,계절 회덮밥,,,,
1225,낙지예찬생선예찬,한식,전라남도 무안군 무안읍 무안로 544,낙지,,,,
1226,향림낙지한마당,한식,전라남도 무안군 무안읍 뻘낙지길 34,"낙지, 회",,,,
1227,토담골한우곰탕,한식,전라남도 무안군 무안읍 성내1길 32-5,곰탕,,,,
1228,무안애꽃낙지한정식,한식,전라남도 무안군 무안읍 영산로 3083,낙지 한정식,,,,
1229,구풍갈비,한식,전라남도 무안군 삼향읍 중등포길 35-37,떡갈비,,,,
1230,남원춘향골추어탕,한식,전라남도 무안군 청계면 도대로 125-9,추어탕,,,,
1231,금복식당,한식,전라남도 보성군 노동면 보림길 2,다슬기탕,,,,
1232,득량반점,중식,전라남도 보성군 득량면 역전길 32,우리밀짜장,,,,
1233,우성관,한식,전라남도 보성군 미력면 초당길 9-4,"오리로스, 탕",,,,
1234,신화식당,한식,전라남도 보성군 보성읍 새싹길 8,대패삼겹살,,,,
1235,태평골낚시터가든,한식,전라남도 보성군 보성읍 새싹길 81-64,추어탕,,,,
1236,복내식당,한식,전라남도 보성군 복내면 개기로 1680,육회비빔밥,,,,
1237,산천식당,한식,전라남도 보성군 복내면 개기로 1682,메기탕,,,,
1238,중흥식육식당,한식,전라남도 보성군 웅치면 일림로 1000,삼겹살,,,,
1239,갯마을횟집,한식,전라남도 보성군 회천면 우암길 27-12,활어회,,,,
1240,원조동경낙지,한식,전라남도 순천시 금곡길 26,낚지전골,,,,
1241,양지쌈밥,한식,전라남도 순천시 금곡길 8,쌈밥,,,,
1242,명동산장,한식,전라남도 순천시 상사면 상사호길 206,민물매운탕,,,,
1243,하마가든,한식,전라남도 순천시 상사호길 315,꿩탕,,,,
1244,선호가든,한식,전라남도 순천시 서면 청소길 239,닭구이,,,,
1245,대대선창집 ,한식,전라남도 순천시 순천만길 542,짱뚱어탕 ,,,,
1246,흥덕식당,한식,전라남도 순천시 역전광장3길 21,백반,,,,
1247,와룡산장,한식,전라남도 순천시 용수동길 361,닭구이,,,,
1248,아구마을 ,한식,전라남도 순천시 하대석길 33,"아귀탕(찜), 해물탕 ",,,,
1249,천사바다블라썸&펜션,일식,전라남도 신안군 암태면 진작지길 227-17 1동,등심돈카츠&커피,,,,
1250,고깃배 횟집,한식,전라남도 신안군 압해읍 압해로 1852,"회백반, 매운탕",,,,
1251,꽃피는 무화가,한식,전라남도 신안군 압해읍 압해로 393-2,"해초전복돌솥밥, 간장게장",,,,
1252,장수촌,한식,전라남도 신안군 압해읍 압해로 423,옻닭(토종닭),,,,
1253,훼밍웨이,카페,전라남도 신안군 압해읍 학동길 66-20,"카페, 디저트",,,,
1254,왕바위식당,한식,전라남도 신안군 증도면 지도증도로 1991,민어회,,,,
1255,당머리첫집,한식,전라남도 여수시 남산남1길 34,"하모샤브샤브, 하모사시미",,,,
1256,녹원식당,한식,전라남도 여수시 남산로 60-31,게장백반,,,,
1257,터진만두,한식,전라남도 여수시 소호로 253-1,"만두, 냉면, 만두전골",,,,
1258,용진하우스,한식,전라남도 여수시 어항단지로 21,"장어탕, 조개탕",,,,
1259,영덕횟집,한식,전라남도 여수시 여수산단로 37-6,우럭매운탕,,,,
1260,나진국밥,한식,전라남도 여수시 화양면 화양로 1391,국밥,,,,
